g, E, uncert
-1, 0.52614075,0.0037620579233596575
-.75,0.6569128,0.002419827589774172
-.5,0.78585905,0.0015057173086429315
-.25,0.9004569,0.0009830769318378593
0, 1.0036027,0.000731915465555951
.25,1.1040026,0.0013644253362040946
.5,1.1907965,0.0022362557690726167
.75,1.2748238,0.002322891541943797
1,1.347643,0.0021069383426346035
1.25,1.4117062,0.0043124233927861666
1.5,1.4707315,0.003146507195631988
1.75,1.5301545,0.004586273547147191
2,1.5768574,0.0029396475898079057
2.25,1.6132795,0.00341813761933949
